data_iniSE,casos_3302601,casos_3302700,casos_3303401,casos_3303500,casos_3303609,casos_3303807,casos_3303906,casos_3304003,casos_3304102,casos_3304755,casos_3304805,casos_3303856,casos_3300456,casos_3301157,casos_3300100,casos_3300159,casos_3300209,casos_3300225,casos_3300233,casos_3300258,casos_3300308,casos_3302304,casos_3302403,casos_3300506,casos_3300902,casos_3300936,casos_3300951,casos_3303203,casos_3301207,casos_3301504,casos_3301603,casos_3301801,casos_3302452,casos_3301850,casos_3301876,casos_3302056,casos_3302254,casos_3303708,casos_3302270,casos_3302502,casos_3302809,casos_3302858,casos_3303005,casos_3303955,casos_3304110,casos_3304144,casos_3304151,casos_3304904,casos_3305000,casos_3305109,casos_3305133,casos_3305208,casos_3305505,casos_3305554,casos_3305752,casos_3306008,casos_3306305,casos_3304607,casos_3304706,casos_3300407,casos_3300605,casos_3300704,casos_3300803,casos_3301009,casos_3301108,casos_3301306,casos_3301405,casos_3301702,casos_3302908,casos_3301900,casos_3302007,casos_3302106,casos_3302205,casos_3303104,casos_3303302,casos_3304128,casos_3304201,casos_3304300,casos_3304409,casos_3304508,casos_3304524,casos_3304557,casos_3305158,casos_3305307,casos_3305406,casos_3305604,casos_3305703,casos_3305802,casos_3305901,casos_3306107,casos_3306156,casos_3306206
2010-01-03,0,3,2,9,0,3,6,2,135,0,0,0,2,0,9,0,1,0,0,0,1,0,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,3,0,0,0,0,7,1,5,0,0,3,1,0,0,32,1,100,0,6,0,6,9,1,6,3,5,0,2,5,0,0,2,31,0,0,0,0,0,0,0,0,0,1
2010-01-10,1,0,2,6,0,10,1,2,124,0,0,0,6,0,8,0,0,0,0,1,0,0,42,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,5,0,3,0,0,0,1,18,0,6,0,0,4,1,1,1,41,0,59,0,7,0,5,18,0,8,9,7,0,0,0,0,0,1,45,1,0,0,0,0,0,0,3,0,0
2010-01-17,0,0,1,6,0,8,2,3,108,0,0,0,3,0,4,0,0,0,0,0,2,0,44,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,7,0,1,0,0,0,0,35,1,1,0,0,0,0,1,0,42,0,63,0,11,1,26,7,0,7,15,1,0,0,15,0,0,3,48,0,0,0,0,0,0,0,1,0,0
2010-01-24,0,0,6,4,0,9,2,3,60,1,0,0,10,0,10,0,3,0,0,1,0,0,45,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,5,11,0,1,1,2,0,0,53,0,4,0,0,4,1,1,0,63,1,78,0,24,0,16,12,0,9,15,1,1,2,18,0,0,4,56,0,0,0,1,0,1,0,0,0,0
2010-01-31,1,0,4,8,0,7,4,3,35,0,2,0,9,0,7,0,4,0,1,1,1,0,53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,1,16,0,6,0,2,0,0,71,0,5,0,0,3,2,2,0,77,2,118,0,6,0,43,13,1,18,8,10,0,1,5,0,0,6,69,0,0,0,0,0,0,0,6,0,0
2010-02-07,2,1,4,11,1,16,0,1,17,0,0,0,9,0,11,0,5,0,1,5,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,2,0,8,0,3,0,0,0,2,57,1,3,0,0,0,2,4,1,63,1,101,0,20,0,35,7,0,4,16,12,0,1,24,0,0,9,59,1,0,0,1,0,0,0,2,0,3
2010-02-14,3,1,3,9,1,22,2,0,22,1,0,0,8,0,16,0,6,0,0,2,0,0,43,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,7,0,1,0,1,0,3,1,9,0,9,0,3,1,1,92,1,4,0,1,2,2,2,6,68,0,69,0,10,0,42,9,0,13,25,13,0,2,23,0,0,8,69,4,0,0,0,0,0,0,6,0,1
2010-02-21,0,2,1,13,0,31,2,1,22,0,2,0,11,0,19,0,8,0,0,1,0,0,34,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,6,0,1,0,0,0,2,1,22,0,6,0,1,2,4,246,0,1,0,1,6,0,1,9,78,1,72,0,29,1,72,10,0,9,21,22,0,1,24,0,0,2,77,7,0,0,0,0,0,0,5,0,2
2010-02-28,1,0,2,12,0,41,2,1,17,0,5,1,14,1,43,0,11,0,0,1,1,0,65,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,10,0,1,1,1,0,5,1,56,0,10,0,3,2,8,183,0,5,0,2,3,0,5,7,69,0,52,0,27,0,42,9,0,20,40,22,0,7,18,0,0,4,99,9,0,0,3,0,0,0,5,0,3
2010-03-07,4,0,0,10,0,39,4,0,11,0,8,0,6,0,35,0,6,0,0,2,0,0,68,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,12,0,2,0,0,0,4,0,35,0,10,0,1,1,2,174,2,3,0,2,1,0,6,15,68,0,12,0,28,0,62,17,0,19,9,25,0,5,13,0,0,0,75,6,0,0,1,0,0,0,5,0,12
2010-03-14,2,2,4,16,1,58,5,0,10,1,25,0,14,0,63,0,14,0,0,1,0,0,53,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,4,0,69,0,4,0,2,0,5,128,1,6,0,1,2,0,9,20,73,1,13,0,42,0,86,21,1,13,20,52,1,3,18,0,0,6,73,12,0,0,1,0,1,0,10,0,21
2010-03-21,4,1,6,34,0,95,4,1,8,0,25,0,10,1,61,1,31,0,1,1,1,0,47,0,2,0,0,3,1,4,0,0,0,0,0,1,0,1,1,9,1,2,0,0,0,5,2,87,0,4,0,3,0,1,87,1,4,0,1,7,1,8,23,58,1,11,2,42,0,108,22,0,24,15,38,0,2,20,0,1,4,104,6,0,0,5,0,1,0,16,1,21
