,casos_2511103,p_rt1_2511103,Rt_2511103,p_inc100k_2511103,temp_min_2511103,temp_max_2511103,umid_min_2511103,umid_max_2511103,pressao_min_2511103,pressao_max_2511103,precip_tot_2511103,casos_2516300,p_rt1_2516300,Rt_2516300,p_inc100k_2516300,temp_min_2516300,temp_max_2516300,umid_min_2516300,umid_max_2516300,pressao_min_2516300,pressao_max_2516300,precip_tot_2516300,casos_2512408,p_rt1_2512408,Rt_2512408,p_inc100k_2512408,temp_min_2512408,temp_max_2512408,umid_min_2512408,umid_max_2512408,pressao_min_2512408,pressao_max_2512408,precip_tot_2512408,casos_2511707,p_rt1_2511707,Rt_2511707,p_inc100k_2511707,temp_min_2511707,temp_max_2511707,umid_min_2511707,umid_max_2511707,pressao_min_2511707,pressao_max_2511707,precip_tot_2511707,casos_2510303,p_rt1_2510303,Rt_2510303,p_inc100k_2510303,temp_min_2510303,temp_max_2510303,umid_min_2510303,umid_max_2510303,pressao_min_2510303,pressao_max_2510303,precip_tot_2510303,casos_2509800,p_rt1_2509800,Rt_2509800,p_inc100k_2509800,temp_min_2509800,temp_max_2509800,umid_min_2509800,umid_max_2509800,pressao_min_2509800,pressao_max_2509800,precip_tot_2509800,casos_2507507,p_rt1_2507507,Rt_2507507,p_inc100k_2507507,temp_min_2507507,temp_max_2507507,umid_min_2507507,umid_max_2507507,pressao_min_2507507,pressao_max_2507507,precip_tot_2507507,casos_2505105,p_rt1_2505105,Rt_2505105,p_inc100k_2505105,temp_min_2505105,temp_max_2505105,umid_min_2505105,umid_max_2505105,pressao_min_2505105,pressao_max_2505105,precip_tot_2505105,casos_2503308,p_rt1_2503308,Rt_2503308,p_inc100k_2503308,temp_min_2503308,temp_max_2503308,umid_min_2503308,umid_max_2503308,pressao_min_2503308,pressao_max_2503308,precip_tot_2503308,casos_2502151,p_rt1_2502151,Rt_2502151,p_inc100k_2502151,temp_min_2502151,temp_max_2502151,umid_min_2502151,umid_max_2502151,pressao_min_2502151,pressao_max_2502151,precip_tot_2502151,temp_mean_2502151,temp_amp_2502151,umid_mean_2502151,umid_amp_2502151,pressao_mean_2502151,temp_mean_2503308,temp_amp_2503308,umid_mean_2503308,umid_amp_2503308,pressao_mean_2503308,temp_mean_2505105,temp_amp_2505105,umid_mean_2505105,umid_amp_2505105,pressao_mean_2505105,temp_mean_2507507,temp_amp_2507507,umid_mean_2507507,umid_amp_2507507,pressao_mean_2507507,temp_mean_2509800,temp_amp_2509800,umid_mean_2509800,umid_amp_2509800,pressao_mean_2509800,temp_mean_2510303,temp_amp_2510303,umid_mean_2510303,umid_amp_2510303,pressao_mean_2510303,temp_mean_2511707,temp_amp_2511707,umid_mean_2511707,umid_amp_2511707,pressao_mean_2511707,temp_mean_2512408,temp_amp_2512408,umid_mean_2512408,umid_amp_2512408,pressao_mean_2512408,temp_mean_2516300,temp_amp_2516300,umid_mean_2516300,umid_amp_2516300,pressao_mean_2516300,temp_mean_2511103,temp_amp_2511103,umid_mean_2511103,umid_amp_2511103,pressao_mean_2511103
2010-01-03,0,0.0,0.0,0.0,21.729566285714288,31.557817857142854,46.93130014285714,92.28024985714286,0.9963150828571428,0.999995647142857,1.1738642985714287,0,0.0,0.0,0.0,21.357954,31.747292714285717,43.51235585714286,92.11561371428571,0.9961804814285714,1.0003605899999999,0.8394885714285714,0,0.0,0.0,0.0,21.451524857142857,29.98868642857143,56.65866271428571,95.61322,0.9970055971428572,1.0002966428571427,0.8219285562857143,0,0.0,0.0,0.0,22.231554285714285,30.207088,60.818900285714285,94.69149571428571,0.9968232014285714,0.9999515,0.63360143,0,0.0,0.0,0.0,21.729566285714288,31.557817857142854,46.93130014285714,92.28024985714286,0.9963150828571428,0.999995647142857,1.1738642985714287,0,0.0,0.0,0.0,22.362269857142856,30.635249714285713,58.40407485714286,94.30203171428572,0.9967773714285714,0.9999414142857143,0.7404342842857143,0,0.0,0.0,0.0,24.765014428571426,28.968096142857142,72.91531214285715,89.31740657142858,0.9967205085714286,0.9992848285714285,1.0219185842857144,0,0.0,0.0,0.0,22.102020285714286,31.277186571428576,50.29336728571429,93.61984300000002,0.9963703271428572,0.9999241814285714,0.8124686,0,0.0,0.0,0.0,23.367806714285713,31.235286285714288,54.33545742857143,86.47523514285714,0.9956827128571428,0.9997937257142857,1.4547585685714286,0,0.0,0.0,0.0,21.738957142857142,31.72996285714286,46.24194428571428,92.53032928571429,0.9962876914285713,1.0002071485714286,0.7659600085714285,26.73446,9.991005714285716,69.38613678571429,46.288385000000005,0.0019597285714286206,27.3015465,7.867479571428575,70.40534628571429,32.139777714285714,0.002055506428571441,26.68960342857143,9.17516628571429,71.95660514285716,43.32647571428573,0.0017769271428570987,26.866555285714284,4.203081714285716,81.11635935714287,16.40209442857143,0.0012821599999999767,26.498759785714284,8.272979857142857,76.35305328571428,35.89795685714286,0.0015820214285714451,26.64369207142857,9.828251571428567,69.605775,45.34894971428572,0.0018402821428571414,26.21932114285714,7.975533714285714,77.755198,33.87259542857142,0.0015641492857143002,25.720105642857142,8.537161571428573,76.13594135714285,38.95455728571429,0.001645522857142756,26.552623357142856,10.389338714285717,67.81398478571428,48.60325785714286,0.002090054285714238,26.64369207142857,9.828251571428567,69.605775,45.34894971428572,0.0018402821428571414
2010-01-10,0,0.0,0.0,0.0,21.28166842857143,30.062966285714285,50.423418857142856,92.51002885714286,0.9971097014285714,1.00042147,0.41458286671428574,0,0.0,0.0,0.0,20.73578285714286,30.133732428571427,47.79101271428571,93.50751,0.9970399785714286,1.0008896142857142,0.37858857002857144,0,0.0,0.0,0.0,21.10824142857143,28.484418428571427,59.823291285714284,95.10497071428571,0.9976995314285714,1.0008423,0.49936428514285713,0,0.0,0.0,0.0,21.894056142857146,28.809382857142857,62.95634614285715,94.13203299999999,0.99754983,1.0005076957142858,0.5781457128571429,0,0.0,0.0,0.0,21.28166842857143,30.062966285714285,50.423418857142856,92.51002885714286,0.9971097014285714,1.00042147,0.41458286671428574,0,0.0,0.0,0.0,22.097263714285713,29.152514,61.333956,92.98842857142857,0.99746015,1.0005064142857143,0.5578071414285714,0,0.0,0.0,0.0,24.886762285714287,28.48396057142857,73.01376628571428,88.14523785714286,0.9973791928571428,0.99991889,0.7483099854285714,0,0.0,0.0,0.0,21.631143,29.64705542857143,54.73485742857143,93.92187842857142,0.99720032,1.0003737285714285,0.4089071377071428,0,0.0,0.0,0.0,23.37568457142857,31.41049185714286,51.26041528571428,86.57287428571429,0.99627766,0.9999289914285715,1.0382014422857142,0,0.0,0.0,0.0,21.26594757142857,30.02247828571429,50.350168000000004,93.23539428571428,0.9971783842857143,1.0007766857142857,0.2923628557142857,25.644212928571427,8.75653071428572,71.79278114285714,42.885226285714275,0.0017991507142857133,27.393088214285715,8.034807285714287,68.91664478571428,35.31245900000001,0.0018256657142857735,25.639099214285714,8.01591242857143,74.32836792857142,39.18702099999999,0.0015867042857142244,26.68536142857143,3.597198285714285,80.57950207142858,15.131471571428577,0.001269848571428589,25.624888857142857,7.055250285714287,77.16119228571429,31.65447257142857,0.0015231321428571531,25.67231735714286,8.781297857142857,71.46672385714285,42.08661,0.0016558842857143374,25.3517195,6.915326714285712,78.54418957142857,31.175686857142843,0.0014789328571429006,24.796329928571428,7.376176999999998,77.464131,35.28167942857143,0.0015713842857142946,25.434757642857143,9.397949571428569,70.64926135714285,45.71649728571428,0.0019248178571428243,25.67231735714286,8.781297857142857,71.46672385714285,42.08661,0.0016558842857143374
2010-01-17,0,0.0,0.0,0.0,21.253670714285715,31.024863571428572,46.237323714285715,92.20385928571429,0.9980915042857142,1.0017974857142857,0.23145286441428572,0,0.0,0.0,0.0,21.38940857142857,31.726867571428574,41.837616857142855,90.29164057142857,0.9980776928571429,1.0023026,0.22310571291428571,0,0.0,0.0,0.0,21.109597285714283,28.73934514285714,58.60031157142857,97.04895771428572,0.9988888114285714,1.0022632571428571,0.4400771345714286,0,0.0,0.0,0.0,21.823364285714288,28.938119142857143,61.67160014285714,95.470197,0.9987058028571428,1.0019194,0.5050742857142857,0,0.0,0.0,0.0,21.253670714285715,31.024863571428572,46.237323714285715,92.20385928571429,0.9980915042857142,1.0017974857142857,0.23145286441428572,0,0.0,0.0,0.0,22.055677142857142,29.301810142857143,60.67948642857142,94.94676628571428,0.9987120728571428,1.0019242857142856,0.42898856428571425,0,0.0,0.0,0.0,24.783678285714284,28.582576142857143,69.70987728571428,87.74299128571428,0.9986855128571428,1.0013061042857143,0.5496299998571429,0,0.0,0.0,0.0,21.50874557142857,30.54028757142857,50.215458,93.70303128571427,0.9981883257142857,1.0017404285714286,0.24455999742857143,0,0.0,0.0,0.0,23.865343285714285,33.28699557142857,43.698664428571426,83.03784285714286,0.9971368014285715,1.0013968285714285,0.3107600047142857,0,0.0,0.0,0.0,21.469417,30.848798428571428,47.00285414285714,93.11941828571427,0.9982249285714285,1.0021590285714286,0.35235570878571426,26.159107714285714,9.379381428571428,70.06113621428571,46.116564142857136,0.0019670500000000257,28.576169428571426,9.421652285714284,63.36825364285714,39.33917842857144,0.002130013571428502,26.02451657142857,9.031542000000002,71.95924464285713,43.48757328571428,0.0017760514285714568,26.68312721428571,3.798897857142858,78.72643428571428,18.033113999999998,0.0013102957142857585,25.678743642857143,7.246133,77.81312635714285,34.26727985714285,0.0016061064285713966,26.139267142857143,9.771192857142857,69.2205915,45.96653557142857,0.0018529907142857405,25.380741714285715,7.114754857142856,78.57089857142857,33.79859685714286,0.0016067985714285915,24.92447121428571,7.629747857142856,77.82463464285715,38.44864614285715,0.001687222857142845,26.558138071428573,10.337459000000003,66.06462871428572,48.45402371428572,0.0021124535714285297,26.139267142857143,9.771192857142857,69.2205915,45.96653557142857,0.0018529907142857405
2010-01-24,0,0.0,0.0,0.0,21.149841285714285,29.572065142857145,59.19889257142857,94.48160742857144,0.9970340214285714,1.0010500285714286,1.458528567142857,0,0.0,0.0,0.0,20.811322999999998,29.849722571428572,55.04766685714286,93.80223357142857,0.9974325614285714,1.0013928571428572,1.6403528585714287,0,0.0,0.0,0.0,21.117340285714285,28.396737285714288,64.31314685714285,96.61120714285714,0.9976929542857143,1.0013445,1.2686943714285714,0,0.0,0.0,0.0,21.974626857142855,28.870644571428574,67.024803,95.04258314285714,0.9974724057142856,1.0009910485714286,0.9587371514285713,0,0.0,0.0,0.0,21.149841285714285,29.572065142857145,59.19889257142857,94.48160742857144,0.9970340214285714,1.0010500285714286,1.458528567142857,0,0.0,0.0,0.0,22.151707285714284,28.971082285714285,65.27804814285714,94.4974677142857,0.9975095257142856,1.00097553,1.30745144,0,0.0,0.0,0.0,24.538692,28.124685857142858,74.41936271428573,89.29764771428572,0.9973987628571429,1.00028782,0.9563285871428572,0,0.0,0.0,0.0,21.729431,29.42882857142857,62.194795285714285,94.564533,0.9971213842857143,1.0009008171428573,1.4797499657142856,0,0.0,0.0,0.0,23.26680214285714,32.662854714285714,49.127546,87.42183285714285,0.9960055714285714,1.0003439571428572,1.3874471401428572,0,0.0,0.0,0.0,21.279423285714284,29.891706142857142,57.686070428571426,94.42860857142857,0.9972511457142856,1.0012033857142857,0.4462871428571428,25.585564714285713,8.612282857142858,76.0573395,36.74253814285714,0.0019761200000000256,27.96482842857143,9.396052571428573,68.27468942857142,38.29428685714284,0.0021691928571428987,25.579129785714287,7.69939757142857,78.37966414285714,32.36973771428571,0.0018897164285714974,26.33168892857143,3.5859938571428565,81.85850521428571,14.878284999999991,0.0014445285714285716,25.561394785714285,6.819375000000001,79.88775792857143,29.21941957142856,0.0017330021428572095,25.360953214285715,8.42222385714286,76.84025,35.282714857142864,0.0020080035714285516,25.422635714285715,6.896017714285719,81.03369307142857,28.017780142857134,0.001759321428571492,24.757038785714286,7.279397000000003,80.462177,32.298060285714286,0.0018257728571429155,25.330522785714287,9.038399571428574,74.42495021428572,38.754566714285716,0.0019801478571429,25.360953214285715,8.42222385714286,76.84025,35.282714857142864,0.0020080035714285516
2010-01-31,0,0.0,0.0,0.0,22.371983,31.128226,51.70063028571428,91.51863285714285,0.9957943885714285,0.99931967,0.32470429871428574,0,0.0,0.0,0.0,21.652601,31.256936142857143,48.63565214285715,91.53828928571428,0.99597492,0.9998749228571429,0.35541430157142856,0,0.0,0.0,0.0,22.141919857142856,29.59827542857143,60.768986999999996,95.18072057142857,0.9964665142857143,0.99976745,0.6315814142857142,0,0.0,0.0,0.0,22.85113942857143,29.73754442857143,63.60093214285714,94.96095071428572,0.9962157914285715,0.99946339,0.8586742857142857,0,0.0,0.0,0.0,22.371983,31.128226,51.70063028571428,91.51863285714285,0.9957943885714285,0.99931967,0.32470429871428574,0,0.0,0.0,0.0,23.047738142857146,30.14890414285714,62.06170671428572,93.92657685714286,0.9962279785714285,0.9994562757142857,0.78312142,0,0.0,0.0,0.0,25.104488,29.043021142857146,73.16883499999999,90.56234357142857,0.9961848157142857,0.9988717942857143,1.3498985571428572,0,0.0,0.0,0.0,22.771732857142858,31.020677857142857,54.13271542857143,92.11837514285715,0.9957697871428571,0.9992296271428571,0.2924628457142857,0,0.0,0.0,0.0,23.642421428571428,32.437413428571425,49.934671571428574,87.55963285714286,0.9950873914285714,0.9991826785714286,2.0487014785714286,0,0.0,0.0,0.0,22.30423842857143,31.09377185714286,52.040263857142854,91.91175114285714,0.9960232857142858,0.9996811442857142,0.5149542857142857,26.699005142857146,8.789533428571428,71.9760075,39.87148728571429,0.0018289292857142092,28.039917428571428,8.794991999999997,68.74715221428572,37.624961285714285,0.0020476435714286145,26.896205357142858,8.248944999999999,73.12554528571428,37.98565971428572,0.001729919999999996,27.073754571428573,3.938533142857146,81.86558928571428,17.393508571428583,0.001343489285714261,26.598321142857145,7.101165999999996,77.99414178571429,31.864870142857143,0.0016141485714286086,26.7501045,8.756243000000001,71.60963157142857,39.818002571428565,0.0017626407142857237,26.294341928571427,6.886405,79.28094142857142,31.360018571428576,0.0016237992857142114,25.870097642857143,7.456355571428574,77.97485378571429,34.41173357142857,0.0016504678571428455,26.454768571428573,9.604335142857142,70.08697071428571,42.90263714285714,0.001950001428571435,26.7501045,8.756243000000001,71.60963157142857,39.818002571428565,0.0017626407142857237
2010-02-07,0,0.5,0.0,0.0,21.738991714285714,31.776711714285714,46.174479000000005,90.35089414285714,0.9965915042857143,1.0004300885714286,0.05711,0,0.5,0.0,0.0,21.321249714285717,32.250383285714285,42.75787471428571,90.63004928571429,0.9968330785714287,1.000988177142857,0.038072857071428566,0,0.5,0.0,0.0,21.606628285714287,29.588888857142855,57.38559271428572,96.01407628571428,0.9974793285714286,1.0010847999999999,0.26116000285714286,0,0.5,0.0,0.0,22.441362714285713,29.70315114285714,61.078634571428566,94.4514622857143,0.99724726,1.0006843142857142,0.3445400042857143,0,0.5,0.0,0.0,21.738991714285714,31.776711714285714,46.174479000000005,90.35089414285714,0.9965915042857143,1.0004300885714286,0.05711,0,0.5,0.0,0.0,22.640472285714285,30.138815714285716,59.27551771428572,93.74761985714285,0.9972417257142857,1.0007400485714286,0.3301871414285714,0,0.5,0.0,0.0,25.389282142857144,29.374642714285716,71.52677785714286,87.90256342857143,0.9972686642857143,1.0001005328571428,0.5942128571428571,0,0.5,0.0,0.0,22.280007428571427,31.463501142857144,49.48302614285715,90.42281842857143,0.9966167342857143,1.0003559342857142,0.07035714357142857,0,0.5,0.0,0.0,24.09789157142857,34.272221,39.23924785714286,78.57381857142857,0.9952992771428572,0.9997906528571429,0.017417143285714285,0,0.5,0.0,0.0,21.911856285714286,31.81559542857143,46.03360828571429,91.4557022857143,0.9968968114285713,1.0009149,0.08385143228571428,26.86372585714286,9.903739142857145,68.74465528571429,45.42209400000001,0.002009044285714301,29.185056285714285,10.174329428571433,58.906533214285716,39.33457071428572,0.002245687857142853,26.871754285714285,9.183493714285717,69.9529222857143,40.93979228571428,0.0018695999999999713,27.38196242857143,3.985360571428572,79.71467064285714,16.375785571428565,0.0014159342857142931,26.389644,7.498343428571431,76.51156878571429,34.47210214285713,0.0017491614285714552,26.757851714285714,10.03772,68.26268657142857,44.17641514285714,0.001919292142857132,26.072256928571427,7.261788428571428,77.76504842857143,33.372827714285734,0.0017185271428571403,25.59775857142857,7.982260571428569,76.69983450000001,38.62848357142856,0.0018027357142856304,26.785816500000003,10.929133571428569,66.693962,47.87217457142858,0.0020775492857141864,26.757851714285714,10.03772,68.26268657142857,44.17641514285714,0.001919292142857132
2010-02-14,0,0.5,0.0,0.0,22.056719142857144,31.899043857142857,45.89543442857143,90.89152942857143,0.9953538471428571,0.9989412485714286,0.15672571857142858,0,0.5,0.0,0.0,21.925489142857142,32.01671028571429,43.55664814285715,88.83692714285714,0.9952643428571429,0.9994618171428572,0.38787427714285716,0,0.5,0.0,0.0,21.681570857142855,29.643737714285717,57.865578285714285,96.16345571428572,0.9960542614285715,0.9994415214285715,0.5011957128571429,0,0.5,0.0,0.0,22.519906,29.66728857142857,62.340985428571436,94.42585999999999,0.99590334,0.9990869585714286,0.5179200088571428,0,0.5,0.0,0.0,22.056719142857144,31.899043857142857,45.89543442857143,90.89152942857143,0.9953538471428571,0.9989412485714286,0.15672571857142858,0,0.5,0.0,0.0,22.66816928571429,29.920715142857144,61.01684785714286,94.01440628571429,0.9958514271428571,0.9990943471428572,0.5431585742857142,0,0.5,0.0,0.0,25.349465428571428,29.03043057142857,72.13394471428572,88.04602285714286,0.9957534757142856,0.9984011357142857,0.6658285728571428,0,0.5,0.0,0.0,22.46663985714286,31.457541428571428,49.77571428571429,91.41987200000001,0.9955696742857142,0.99888228,0.2050542842857143,0,0.5,0.0,0.0,24.494519857142855,33.498483285714286,44.366915,81.20956485714285,0.9944853314285714,0.9985514971428572,0.5880414437142857,0,0.5,0.0,0.0,22.111764,31.651332285714286,46.855844,91.88151857142859,0.9953675200000001,0.9993049285714285,0.3681299925714286,26.88154814285714,9.539568285714285,69.36868128571429,45.02567457142859,0.001968704285714218,28.99650157142857,9.003963428571431,62.78823992857143,36.84264985714285,0.002033082857142876,26.96209064285714,8.99090157142857,70.59779314285714,41.644157714285726,0.0016563028571429106,27.189948,3.6809651428571435,80.08998378571428,15.91207814285714,0.0013238300000000258,26.294442214285716,7.252545857142856,77.51562707142857,32.99755842857143,0.001621460000000019,26.977881500000002,9.842324714285713,68.39348192857143,44.996095000000004,0.0017937007142857508,26.093597285714285,7.147382571428572,78.38342271428571,32.08487457142855,0.0015918092857142851,25.662654285714286,7.962166857142861,77.014517,38.29787742857143,0.0016936300000000015,26.971099714285714,10.091221142857147,66.19678764285715,45.280278999999986,0.002098737142857132,26.977881500000002,9.842324714285713,68.39348192857143,44.996095000000004,0.0017937007142857508
2010-02-21,0,0.5,0.0,0.0,22.347760714285716,30.690067857142857,53.39783857142857,91.83277514285714,0.9970415857142857,1.0007348285714286,0.2567457145714286,0,0.5,0.0,0.0,22.09998871428571,31.600625142857144,46.93042414285714,89.04896342857144,0.9972973142857143,1.0012275428571429,0.2689571451428571,0,0.5,0.0,0.0,22.032601285714286,28.793845,65.57062771428572,96.60804957142857,0.9978454057142857,1.0012014142857144,1.0590514257142858,0,0.5,0.0,0.0,22.85090857142857,29.162741571428572,68.76859885714285,95.383748,0.9976456371428571,1.0008078428571427,1.0264157428571428,0,0.5,0.0,0.0,22.347760714285716,30.690067857142857,53.39783857142857,91.83277514285714,0.9970415857142857,1.0007348285714286,0.2567457145714286,0,0.5,0.0,0.0,23.078630857142855,29.452484142857145,67.36916642857143,94.345245,0.9976149371428571,1.0008324142857143,1.1594600142857143,0,0.5,0.0,0.0,25.566463,29.19485442857143,73.94986057142857,89.32328657142857,0.9974922442857144,1.0001579871428572,0.8786771371428571,0,0.5,0.0,0.0,22.757167000000003,30.498944857142856,56.39351557142857,92.16119557142858,0.9971368142857143,1.0006246142857143,0.32234285685714287,0,0.5,0.0,0.0,24.90474157142857,34.636731714285716,38.17681157142857,76.13058142857143,0.9954667314285714,0.9999986771428571,0.11577428442857142,0,0.5,0.0,0.0,22.39349357142857,30.97402957142857,52.97252157142857,91.51048457142858,0.9973681271428572,1.0010887142857143,0.4886799992857143,26.68376157142857,8.580535999999999,72.24150307142858,38.537963000000005,0.001860293571428584,29.770736642857145,9.731990142857146,57.1536965,37.95376985714286,0.002265972857142806,26.628055928571428,7.7417778571428535,74.27735557142857,35.767680000000006,0.001743899999999965,27.380658714285715,3.6283914285714296,81.63657357142857,15.373425999999995,0.0013328714285714138,26.2655575,6.37385328571429,80.85720571428573,26.976078571428573,0.001608738571428625,26.51891428571429,8.342307142857141,72.61530685714285,38.43493657142857,0.0018466214285714488,26.006825071428572,6.311833000000004,82.07617342857142,26.61514914285715,0.001581102857142802,25.41322314285714,6.761243714285715,81.08933864285714,31.037421857142846,0.0016780042857143518,26.850306928571428,9.500636428571433,67.9896937857143,42.1185392857143,0.0019651142857142756,26.51891428571429,8.342307142857141,72.61530685714285,38.43493657142857,0.0018466214285714488
2010-02-28,0,0.5,0.0,0.0,22.393328142857143,32.781158142857144,44.77819928571429,91.73543428571429,0.9959864785714286,0.9999605085714285,0.22270572285714288,0,0.5,0.0,0.0,22.406995428571427,33.597900571428575,39.711350857142854,90.10762857142858,0.9958513242857142,1.0004758628571429,0.11181142528571429,0,0.5,0.0,0.0,22.306780142857143,30.318882714285714,58.15667714285714,96.15227214285714,0.9967618428571429,1.0003724571428572,0.4782599957142857,0,0.5,0.0,0.0,23.034284285714286,30.442352,61.710113285714286,95.43425557142857,0.9966115814285714,1.0000007214285715,0.5031471357142857,0,0.5,0.0,0.0,22.393328142857143,32.781158142857144,44.77819928571429,91.73543428571429,0.9959864785714286,0.9999605085714285,0.22270572285714288,0,0.5,0.0,0.0,23.267608714285718,30.683096714285714,60.89755771428572,94.6242902857143,0.99655122,1.0000086671428572,0.6053157335714285,0,0.5,0.0,0.0,25.720437285714286,29.838888999999998,72.07545785714285,89.24443442857144,0.9965670642857143,0.9993428271428572,0.71766714,0,0.5,0.0,0.0,22.821158142857144,32.44533428571429,47.514607000000005,93.1032622857143,0.9961095942857143,0.9998361714285714,0.21204429414285714,0,0.5,0.0,0.0,25.01519342857143,35.263541,38.27325842857143,81.35242014285714,0.9946657999999999,0.9996730957142858,0.42056286428571427,0,0.5,0.0,0.0,22.694955,32.794211000000004,45.51458142857143,91.89554857142856,0.9960541385714287,1.0003131,0.20079284867142858,27.744583000000002,10.099256000000004,68.70506499999999,46.38096714285713,0.002129480714285703,30.139367214285713,10.248347571428567,59.81283928571429,43.07916171428571,0.00250364785714291,27.633246214285716,9.624176142857145,70.30893464285715,45.58865528571429,0.001863288571428534,27.779663142857142,4.118451714285712,80.65994614285714,17.168976571428587,0.0013878814285714358,26.975352714285716,7.415487999999996,77.760924,33.72673257142858,0.0017287235714286142,27.587243142857144,10.387830000000001,68.25681678571429,46.957235000000004,0.0019870149999999254,26.738318142857143,7.408067714285714,78.57218442857143,33.72414228571428,0.0016945700000000619,26.312831428571428,8.01210257142857,77.15447464285714,37.995595,0.0018053071428571488,28.002448,11.190905142857147,64.90948971428571,50.39627771428572,0.002312269285714319,27.587243142857144,10.387830000000001,68.25681678571429,46.957235000000004,0.0019870149999999254
2010-03-07,0,0.5,0.0,0.0,21.265734000000002,34.333644142857146,35.61842842857143,93.10396128571428,0.9956584700000001,1.0002536914285713,0.014742857285714284,0,0.5,0.0,0.0,21.412371,34.70698314285714,31.716834857142857,89.14302157142856,0.9955262842857142,1.0005979857142857,0.003562857142857143,0,0.5,0.0,0.0,21.009443142857144,32.19812014285714,46.19585585714286,96.96315214285714,0.9963395671428571,1.0004709328571428,0.03492428571428572,0,0.5,0.0,0.0,21.647848714285715,31.776332285714286,52.65794185714286,96.01757,0.9963261514285715,1.0001001357142858,0.048388571285714284,0,0.5,0.0,0.0,21.265734000000002,34.333644142857146,35.61842842857143,93.10396128571428,0.9956584700000001,1.0002536914285713,0.014742857285714284,0,0.5,0.0,0.0,21.87926357142857,32.179299,50.947306000000005,95.58178142857142,0.9961987785714286,1.0001034142857144,0.0477514286,0,0.5,0.0,0.0,25.760201714285717,30.529711,63.72131328571429,84.70620785714286,0.9965468628571428,0.9994001800000001,0.03219142722857143,0,0.5,0.0,0.0,21.623047000000003,33.77736071428571,39.89277871428572,94.82370571428571,0.9958875528571428,1.0000899585714287,0.03975428571428571,0,0.5,0.0,0.0,24.63137814285714,35.62358728571429,34.64983014285714,79.295762,0.9947820714285714,0.9997976057142858,0.0734428571,0,0.5,0.0,0.0,21.51884228571429,34.668117,34.78481614285714,91.67293728571428,0.9956062571428571,1.0004814657142858,0.0124928566,28.093479642857147,13.149274714285713,63.22887671428571,56.888121142857145,0.002437604285714323,30.127482714285712,10.992209142857146,56.97279607142857,44.645931857142855,0.0025077671428571646,27.70020385714286,12.15431371428571,67.35824221428571,54.93092699999999,0.0021012028571429364,28.14495635714286,4.769509285714282,74.21376057142857,20.98489457142857,0.0014266585714286517,27.029281285714283,10.30003542857143,73.26454371428571,44.63447542857141,0.0019523178571428934,27.799689071428574,13.067910142857144,64.36119485714285,57.48553285714285,0.002297610714285636,26.712090500000002,10.128483571428571,74.33775592857143,43.35962814285715,0.0018869921428571468,26.603781642857143,11.188676999999998,71.579504,50.76729628571428,0.00206568285714287,28.05967707142857,13.29461214285714,60.42992821428571,57.426186714285706,0.002535850714285748,27.799689071428574,13.067910142857144,64.36119485714285,57.48553285714285,0.002297610714285636
