,casos_2611002,casos_est_2611002,casos_est_min_2611002,casos_est_max_2611002,p_rt1_2611002,p_inc100k_2611002,temp_min_2611002,temp_max_2611002,umid_min_2611002,pressao_min_2611002,casos_2611606,casos_est_2611606,casos_est_min_2611606,casos_est_max_2611606,p_rt1_2611606,p_inc100k_2611606,temp_min_2611606,temp_max_2611606,umid_min_2611606,pressao_min_2611606,casos_2610707,casos_est_2610707,casos_est_min_2610707,casos_est_max_2610707,p_rt1_2610707,p_inc100k_2610707,temp_min_2610707,temp_max_2610707,umid_min_2610707,pressao_min_2610707,casos_2609600,casos_est_2609600,casos_est_min_2609600,casos_est_max_2609600,p_rt1_2609600,p_inc100k_2609600,temp_min_2609600,temp_max_2609600,umid_min_2609600,pressao_min_2609600,casos_2600054,casos_est_2600054,casos_est_min_2600054,casos_est_max_2600054,p_rt1_2600054,p_inc100k_2600054,temp_min_2600054,temp_max_2600054,umid_min_2600054,pressao_min_2600054
2010-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,24.776031500000002,29.348816,70.170561,0.9968554666666667
2010-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,24.635005428571425,28.644129857142854,70.975821,0.9975071814285714
2010-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,24.811444857142856,28.589848142857143,69.07789857142858,0.99890938
2010-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,24.338392,27.957985857142855,75.02736142857142,0.9977431371428571
2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,24.873378142857142,29.060019285714286,73.07297242857143,0.9965001471428572
2010-02-07,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,25.380966,29.64325433333333,68.91005166666666,0.9974116283333334
2010-02-14,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.992165857142854,29.11469357142857,70.38137914285714,0.9959387142857142
2010-02-21,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,25.44394,29.267334,71.18412,0.997547
2010-02-28,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,25.44394,29.267334,71.18412,0.997547
2010-03-07,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,25.594228,31.167867,60.38962833333333,0.996200735
