,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557,casos_3305554,casos_est_3305554,casos_est_min_3305554,casos_est_max_3305554,p_rt1_3305554,p_inc100k_3305554,temp_min_3305554,temp_max_3305554,umid_min_3305554,pressao_min_3305554,casos_3304151,casos_est_3304151,casos_est_min_3304151,casos_est_max_3304151,p_rt1_3304151,p_inc100k_3304151,temp_min_3304151,temp_max_3304151,umid_min_3304151,pressao_min_3304151,casos_3304144,casos_est_3304144,casos_est_min_3304144,casos_est_max_3304144,p_rt1_3304144,p_inc100k_3304144,temp_min_3304144,temp_max_3304144,umid_min_3304144,pressao_min_3304144,casos_3302858,casos_est_3302858,casos_est_min_3302858,casos_est_max_3302858,p_rt1_3302858,p_inc100k_3302858,temp_min_3302858,temp_max_3302858,umid_min_3302858,pressao_min_3302858,casos_3302270,casos_est_3302270,casos_est_min_3302270,casos_est_max_3302270,p_rt1_3302270,p_inc100k_3302270,temp_min_3302270,temp_max_3302270,umid_min_3302270,pressao_min_3302270,casos_3303203,casos_est_3303203,casos_est_min_3303203,casos_est_max_3303203,p_rt1_3303203,p_inc100k_3303203,temp_min_3303203,temp_max_3303203,umid_min_3303203,pressao_min_3303203
2010-01-03,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-01-10,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-01-17,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-01-24,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-01-31,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-02-07,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,
2010-02-14,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,
2010-02-21,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,
2010-02-28,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,
2010-03-07,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,
