,casos_4104501,casos_est_4104501,casos_est_min_4104501,casos_est_max_4104501,p_rt1_4104501,p_inc100k_4104501,temp_min_4104501,temp_max_4104501,umid_min_4104501,pressao_min_4104501,casos_4113304,casos_est_4113304,casos_est_min_4113304,casos_est_max_4113304,p_rt1_4113304,p_inc100k_4113304,temp_min_4113304,temp_max_4113304,umid_min_4113304,pressao_min_4113304,casos_4125704,casos_est_4125704,casos_est_min_4125704,casos_est_max_4125704,p_rt1_4125704,p_inc100k_4125704,temp_min_4125704,temp_max_4125704,umid_min_4125704,pressao_min_4125704,casos_4108304,casos_est_4108304,casos_est_min_4108304,casos_est_max_4108304,p_rt1_4108304,p_inc100k_4108304,temp_min_4108304,temp_max_4108304,umid_min_4108304,pressao_min_4108304,casos_4124053,casos_est_4124053,casos_est_min_4124053,casos_est_max_4124053,p_rt1_4124053,p_inc100k_4124053,temp_min_4124053,temp_max_4124053,umid_min_4124053,pressao_min_4124053,casos_4103057,casos_est_4103057,casos_est_min_4103057,casos_est_max_4103057,p_rt1_4103057,p_inc100k_4103057,temp_min_4103057,temp_max_4103057,umid_min_4103057,pressao_min_4103057,casos_4113403,casos_est_4113403,casos_est_min_4113403,casos_est_max_4113403,p_rt1_4113403,p_inc100k_4113403,temp_min_4113403,temp_max_4113403,umid_min_4113403,pressao_min_4113403,casos_4115804,casos_est_4115804,casos_est_min_4115804,casos_est_max_4115804,p_rt1_4115804,p_inc100k_4115804,temp_min_4115804,temp_max_4115804,umid_min_4115804,pressao_min_4115804
2010-01-03,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,0,0.0,0,0,0.0,0.0,25.0,25.0,78.0,1014.0,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334,0,0.0,0,0,0.0,0.0,21.333333333333332,29.666666666666668,66.0,1011.3333333333334,0,0.0,0,0,0.0,0.0,22.333333333333332,31.333333333333332,43.666666666666664,1007.3333333333334
2010-01-10,0,0.0,0,0,0.0,0.0,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,0,0.0,0,0,0.0,0.0,22.0,29.0,61.57142857142857,1011.2857142857143,0,0.0,0,0,0.0,0.0,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,0,0.0,0,0,0.0,0.0,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,0,0.0,0,0,0.0,0.0,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,0,0.0,0,0,0.0,0.0,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286,0,0.0,0,0,0.0,0.0,22.428571428571427,29.428571428571427,67.57142857142857,1011.1428571428571,0,0.0,0,0,0.0,0.0,22.285714285714285,31.714285714285715,49.142857142857146,1006.5714285714286
2010-01-17,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,0,0.0,0,0,0.0,0.0,21.0,26.285714285714285,72.14285714285714,1013.2857142857143,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286,0,0.0,0,0,0.0,0.0,21.285714285714285,27.285714285714285,74.42857142857143,1012.8571428571429,0,0.0,0,0,0.0,0.0,20.857142857142858,29.571428571428573,56.142857142857146,1008.5714285714286
2010-01-24,0,0.0,0,0,0.0,0.0,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,0,0.0,0,0,0.0,0.0,19.714285714285715,26.714285714285715,63.285714285714285,1011.8571428571429,0,0.0,0,0,0.0,0.0,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,0,0.0,0,0,0.0,0.0,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,0,0.0,0,0,0.0,0.0,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,0,0.0,0,0,0.0,0.0,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286,0,0.0,0,0,0.0,0.0,21.0,29.428571428571427,67.85714285714286,1010.8571428571429,0,0.0,0,0,0.0,0.0,19.428571428571427,30.428571428571427,46.142857142857146,1007.5714285714286
2010-01-31,0,0.0,0,0,0.0,0.0,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,0,0.0,0,0,0.0,0.0,20.0,28.5,54.166666666666664,1011.1666666666666,0,0.0,0,0,0.0,0.0,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,0,0.0,0,0,0.0,0.0,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,0,0.0,0,0,0.0,0.0,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,0,0.0,0,0,0.0,0.0,19.857142857142858,31.428571428571427,43.285714285714285,1007.0,0,0.0,0,0,0.0,0.0,19.857142857142858,27.714285714285715,69.0,1010.8571428571429,0,0.0,0,0,0.0,0.0,19.857142857142858,31.428571428571427,43.285714285714285,1007.0
2010-02-07,0,0.0,0,0,0.5,0.0,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,0,0.0,0,0,0.5,0.0,23.833333333333332,32.833333333333336,44.166666666666664,862.1666666666666,0,0.0,0,0,0.5,0.0,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,0,0.0,0,0,0.5,0.0,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,0,0.0,0,0,0.5,0.0,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,0,0.0,0,0,0.5,0.0,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857,0,0.0,0,0,0.5,0.0,21.714285714285715,32.57142857142857,46.285714285714285,1011.7142857142857,0,0.0,0,0,0.5,0.0,23.142857142857142,35.42857142857143,31.714285714285715,1006.7142857142857
2010-02-14,0,0.0,0,0,0.5,0.0,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,0,0.0,0,0,0.5,0.0,19.6,29.0,60.4,1010.4,0,0.0,0,0,0.5,0.0,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,0,0.0,0,0,0.5,0.0,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,0,0.0,0,0,0.5,0.0,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,0,0.0,0,0,0.5,0.0,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571,0,0.0,0,0,0.5,0.0,20.714285714285715,27.857142857142858,65.14285714285714,1010.8571428571429,0,0.0,0,0,0.5,0.0,20.142857142857142,30.285714285714285,50.285714285714285,1007.1428571428571
2010-02-21,0,0.0,0,0,0.5,0.0,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,0,0.0,0,0,0.5,0.0,20.25,25.75,75.25,1014.25,0,0.0,0,0,0.5,0.0,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,0,0.0,0,0,0.5,0.0,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,0,0.0,0,0,0.5,0.0,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,0,0.0,0,0,0.5,0.0,21.714285714285715,29.571428571428573,55.714285714285715,1009.0,0,0.0,0,0,0.5,0.0,20.571428571428573,27.857142857142858,66.42857142857143,1013.4285714285714,0,0.0,0,0,0.5,0.0,21.714285714285715,29.571428571428573,55.714285714285715,1009.0
2010-02-28,0,0.0,0,0,0.5,0.0,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,0,0.0,0,0,0.5,0.0,20.857142857142858,26.428571428571427,64.57142857142857,1014.1428571428571,0,0.0,0,0,0.5,0.0,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,0,0.0,0,0,0.5,0.0,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,0,0.0,0,0,0.5,0.0,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,0,0.0,0,0,0.5,0.0,20.0,27.857142857142858,55.285714285714285,1009.8571428571429,0,0.0,0,0,0.5,0.0,20.142857142857142,28.714285714285715,56.42857142857143,1012.1428571428571,0,0.0,0,0,0.5,0.0,20.0,27.857142857142858,55.285714285714285,1009.8571428571429
2010-03-07,0,0.0,0,0,0.5,0.0,18.285714285714285,30.285714285714285,33.0,1010.0,0,0.0,0,0,0.5,0.0,20.0,28.0,55.714285714285715,884.2857142857143,0,0.0,0,0,0.5,0.0,18.285714285714285,30.285714285714285,33.0,1010.0,0,0.0,0,0,0.5,0.0,18.285714285714285,30.285714285714285,33.0,1010.0,0,0.0,0,0,0.5,0.0,18.285714285714285,30.285714285714285,33.0,1010.0,0,0.0,0,0,0.5,0.0,18.285714285714285,30.285714285714285,33.0,1010.0,0,0.0,0,0,0.5,0.0,18.571428571428573,29.142857142857142,45.285714285714285,1011.5714285714286,0,0.0,0,0,0.5,0.0,18.285714285714285,30.285714285714285,33.0,1010.0
