,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2309458,casos_est_2309458,casos_est_min_2309458,casos_est_max_2309458,p_rt1_2309458,p_inc100k_2309458,temp_min_2309458,temp_max_2309458,umid_min_2309458,pressao_min_2309458,casos_2302800,casos_est_2302800,casos_est_min_2302800,casos_est_max_2302800,p_rt1_2302800,p_inc100k_2302800,temp_min_2302800,temp_max_2302800,umid_min_2302800,pressao_min_2302800,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2306256,casos_est_2306256,casos_est_min_2306256,casos_est_max_2306256,p_rt1_2306256,p_inc100k_2306256,temp_min_2306256,temp_max_2306256,umid_min_2306256,pressao_min_2306256,casos_2304285,casos_est_2304285,casos_est_min_2304285,casos_est_max_2304285,p_rt1_2304285,p_inc100k_2304285,temp_min_2304285,temp_max_2304285,umid_min_2304285,pressao_min_2304285,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709,casos_2302107,casos_est_2302107,casos_est_min_2302107,casos_est_max_2302107,p_rt1_2302107,p_inc100k_2302107,temp_min_2302107,temp_max_2302107,umid_min_2302107,pressao_min_2302107,casos_2302008,casos_est_2302008,casos_est_min_2302008,casos_est_max_2302008,p_rt1_2302008,p_inc100k_2302008,temp_min_2302008,temp_max_2302008,umid_min_2302008,pressao_min_2302008
2010-01-03,2,2.0,2,2,0.0,0.8716192,24.319911714285716,30.48634557142857,60.97715042857143,0.9960309814285715,0,0.0,0,0,0.0,0.0,23.903978571428574,31.960135285714284,54.69899514285714,0.99566172,0,0.0,0,0,0.0,0.0,23.20632914285714,31.110809285714286,51.79012814285714,0.9958633371428572,56,56.0,56,56,0.0,2.0844097,25.284436857142857,28.743016,71.92655428571429,0.9960763171428572,0,0.0,0,0,0.0,0.0,24.587968999999998,30.28811185714286,64.07666942857144,0.9959813314285714,0,0.0,0,0,0.0,0.0,25.284436857142857,28.743016,71.92655428571429,0.9960763171428572,0,0.0,0,0,0.0,0.0,25.575435,28.116856285714285,74.61707942857143,0.9961057842857143,0,0.0,0,0,0.0,0.0,23.20435442857143,30.972686714285715,54.04484514285714,0.9958415799999999,0,0.0,0,0,0.0,0.0,22.640306714285714,30.403224428571427,54.970053428571426,0.99609582
2010-01-10,3,3.0,3,3,0.0,1.3074288,24.411634,30.83957785714286,57.368999714285714,0.99624555,0,0.0,0,0,0.0,0.0,24.186388142857144,32.02331557142857,52.273349571428575,0.9960866171428571,0,0.0,0,0,0.0,0.0,23.30811,31.32823385714286,50.21427514285715,0.9962846728571428,55,55.0,55,55,0.0,2.047188,25.689043285714288,28.874237,70.28949185714285,0.9963491942857142,0,0.0,0,0,0.0,0.0,24.951328999999998,30.057176857142856,64.25103485714286,0.9963674442857143,0,0.0,0,0,0.0,0.0,25.689043285714288,28.874237,70.28949185714285,0.9963491942857142,1,1.0,1,1,0.0,0.27381358,25.871582142857143,28.478206,71.296428,0.9962807657142857,0,0.0,0,0,0.0,0.0,23.401319142857144,31.372144428571428,51.19086600000001,0.9962639957142857,0,0.0,0,0,0.0,0.0,22.18299657142857,29.993391,56.564824428571434,0.9968505514285715
2010-01-17,6,6.0,6,6,0.0,2.6148577,24.75093742857143,32.868508428571424,48.14823442857143,0.9971154128571429,0,0.0,0,0,0.0,0.0,24.03901457142857,33.61093628571429,45.422521857142854,0.9967848957142857,1,1.0,1,1,0.0,1.2945989,23.49745814285714,33.20139842857143,40.879123142857146,0.9969399914285714,77,77.0,77,77,0.0,2.8660634,25.91444614285714,30.03856557142857,64.09028871428572,0.9975479971428571,0,0.0,0,0,0.0,0.0,24.952117714285716,31.650076857142857,56.28211371428572,0.9973681585714286,0,0.0,0,0,0.0,0.0,25.91444614285714,30.03856557142857,64.09028871428572,0.9975479971428571,2,2.0,2,2,0.0,0.54762715,26.296073,29.557499285714282,65.60284285714286,0.9974933457142857,1,1.0,1,1,0.0,2.7823377,23.571362857142855,33.083980000000004,42.29745442857143,0.99692227,0,0.0,0,0,0.0,0.0,22.57432342857143,31.37353942857143,51.559022142857145,0.9978962257142857
2010-01-24,4,4.0,4,4,0.0,1.7432384,24.38159185714286,32.75776885714286,52.469240428571425,0.99586622,0,0.0,0,0,0.0,0.0,23.780050999999997,33.62797771428571,48.68735742857143,0.9956573999999999,0,0.0,0,0,0.0,0.0,23.047345857142858,32.631892428571426,47.88217014285715,0.9959529757142856,56,56.0,56,56,0.0,2.0844097,25.419743,30.17660085714286,66.07465971428572,0.9960728757142857,0,0.0,0,0,0.0,0.0,24.49635957142857,32.01755242857143,57.89580242857143,0.9959183128571428,0,0.0,0,0,0.0,0.0,25.419743,30.17660085714286,66.07465971428572,0.9960728757142857,0,0.0,0,0,0.0,0.0,25.875632142857143,29.477129285714284,68.35551457142857,0.9960832000000001,0,0.0,0,0,0.0,0.0,23.19875657142857,32.696489285714286,49.27805414285714,0.9959090657142857,0,0.0,0,0,0.0,0.0,22.169895857142855,31.661416285714285,50.600249,0.9965407914285714
2010-01-31,5,5.0,5,5,0.0,2.179048,24.674992428571425,31.494088285714287,57.54928457142857,0.9950617671428572,0,0.0,0,0,0.0,0.0,24.42605157142857,32.82586185714286,54.43192842857143,0.9948446285714285,0,0.0,0,0,0.0,0.0,23.577632285714287,31.798557714285714,52.457509,0.99510735,114,114.0,114,114,0.0,4.2432623,25.617575714285714,29.364453714285712,70.73122571428571,0.9951435014285714,0,0.0,0,0,0.0,0.0,24.973175,30.87239728571429,63.887963571428564,0.9950985942857143,0,0.0,0,0,0.0,0.0,25.617575714285714,29.364453714285712,70.73122571428571,0.9951435014285714,0,0.0,0,0,0.0,0.0,25.851017714285714,28.912074571428573,71.355346,0.9951358457142857,1,1.0,1,1,0.0,2.7823377,23.62739357142857,31.677512,54.685797428571426,0.9950700214285714,1,1.0,1,1,0.0,4.394059,22.81341114285714,31.55965757142857,51.487102,0.9955510571428572
2010-02-07,3,3.0,3,3,0.26995412,1.3074288,25.664646714285713,32.106545571428576,57.16176442857142,0.9952690857142857,0,0.0,0,0,0.5,0.0,25.096553142857143,34.070198999999995,47.539482428571425,0.9949338457142858,0,0.0,0,0,0.0,0.0,24.565373,33.01236814285714,46.771923571428566,0.9952652842857143,45,45.0,45,45,0.003485894,1.674972,26.35787528571429,29.892041857142857,70.30839514285715,0.9955878214285715,0,0.0,0,0,0.5,0.0,25.86364742857143,31.700448,60.67668114285714,0.9954242985714286,0,0.0,0,0,0.5,0.0,26.35787528571429,29.892041857142857,70.30839514285715,0.9955878214285715,0,0.0,0,0,0.0,0.0,26.470297714285714,29.26922185714286,73.11483714285714,0.9955344014285714,0,0.0,0,0,0.0,0.0,24.59002257142857,32.872066000000004,48.84455342857143,0.9952109914285714,0,0.0,0,0,0.0,0.0,22.881622285714286,33.00956514285714,42.00672371428571,0.9958082242857144
2010-02-14,3,3.0,3,3,0.31875604,1.3074288,24.66824757142857,29.537549857142857,71.22992457142858,0.9951191685714286,0,0.0,0,0,0.5,0.0,24.54584614285714,30.439065142857142,66.68885285714285,0.9947828585714286,0,0.0,0,0,0.0,0.0,23.655669999999997,30.148585857142855,61.05999057142857,0.99517188,81,81.0,81,81,0.5723884,3.0149498,25.501299285714286,28.329023142857146,78.05461014285713,0.9950076571428571,0,0.0,0,0,0.5,0.0,24.865722857142856,29.245357000000002,74.17140885714285,0.9949995371428572,0,0.0,0,0,0.5,0.0,25.501299285714286,28.329023142857146,78.05461014285713,0.9950076571428571,1,1.0,1,1,0.8910605,0.27381358,25.807421,27.902313142857142,79.41934785714285,0.9950161814285714,0,0.0,0,0,0.0,0.0,23.707101142857145,29.77751814285714,65.19303000000001,0.9951440342857143,1,1.0,1,1,0.730556,4.394059,23.022988571428574,31.755340714285715,49.920354714285715,0.9951119442857143
2010-02-21,7,7.0,7,7,0.8506019,3.0506673,24.745178142857146,30.97453057142857,62.96965028571429,0.9958448400000001,0,0.0,0,0,0.5,0.0,24.60723014285714,33.01746042857143,53.63016428571429,0.9955044342857143,0,0.0,0,0,0.0,0.0,23.492884857142858,32.18675842857143,50.454080142857144,0.9959506928571429,56,56.0,56,56,0.08354105,2.0844097,26.035038714285715,29.557268714285716,72.65952428571428,0.9960191657142856,0,0.0,0,0,0.5,0.0,25.273119285714284,30.842581571428575,66.40552871428572,0.9959129857142858,0,0.0,0,0,0.5,0.0,26.035038714285715,29.557268714285716,72.65952428571428,0.9960191657142856,0,0.0,0,0,0.0,0.0,26.18680242857143,29.024078142857142,74.36239071428572,0.9959701285714286,0,0.0,0,0,0.0,0.0,23.559143000000002,31.836452142857144,53.891348,0.9959323857142858,3,3.0,3,3,0.9304139,13.182178,23.58142542857143,34.06786257142857,38.50797471428571,0.9958955042857143
2010-02-28,10,10.0,10,10,0.9366219,4.358096,25.101902428571428,32.084236999999995,58.494756714285714,0.9955678328571428,0,0.0,0,0,0.5,0.0,25.232365428571427,34.180093,49.173517,0.9950569957142857,0,0.0,0,0,0.0,0.0,24.209598857142858,33.695735285714285,45.37095028571429,0.9953411214285713,105,105.0,105,105,0.99710685,3.9082682,26.281638285714283,30.046700714285716,72.114157,0.9957116085714286,0,0.0,0,0,0.5,0.0,25.56832885714286,31.623421714285715,63.838031,0.9955848185714286,0,0.0,0,0,0.5,0.0,26.281638285714283,30.046700714285716,72.114157,0.9957116085714286,1,1.0,1,1,0.7304197,0.27381358,26.50963057142857,29.320578571428573,74.70738428571428,0.9957030014285715,1,1.0,1,1,0.92779905,2.7823377,24.20732342857143,33.247127285714285,49.02177385714286,0.9954038885714286,0,0.0,0,0,0.0,0.0,23.970193,33.62537042857143,44.15459385714286,0.9952561857142858
2010-03-07,6,6.0,6,6,0.44788298,2.6148577,25.111175428571432,32.56731271428571,55.43523114285715,0.9957746685714286,0,0.0,0,0,0.5,0.0,25.001756857142855,34.717616285714286,45.60390271428572,0.9952411614285713,0,0.0,0,0,0.0,0.0,24.064108714285712,34.657889,39.30109842857143,0.99536392,61,61.0,61,61,0.13811277,2.2705176,26.525007285714285,30.367265714285715,69.37725828571429,0.9959564328571429,0,0.0,0,0,0.5,0.0,25.58060142857143,32.170492714285714,60.16009414285714,0.9957847671428571,0,0.0,0,0,0.5,0.0,26.525007285714285,30.367265714285715,69.37725828571429,0.9959564328571429,0,0.0,0,0,0.0,0.0,26.910077857142856,29.725664428571427,71.11815928571428,0.9959835071428572,0,0.0,0,0,0.0,0.0,24.126155285714283,34.24756271428571,42.57621614285715,0.99542383,1,1.0,1,1,0.35423523,4.394059,23.79509157142857,34.33347414285714,39.014181428571426,0.9952130557142856
