,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2309458,casos_est_2309458,casos_est_min_2309458,casos_est_max_2309458,p_rt1_2309458,p_inc100k_2309458,temp_min_2309458,temp_max_2309458,umid_min_2309458,pressao_min_2309458,casos_2302800,casos_est_2302800,casos_est_min_2302800,casos_est_max_2302800,p_rt1_2302800,p_inc100k_2302800,temp_min_2302800,temp_max_2302800,umid_min_2302800,pressao_min_2302800,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2306256,casos_est_2306256,casos_est_min_2306256,casos_est_max_2306256,p_rt1_2306256,p_inc100k_2306256,temp_min_2306256,temp_max_2306256,umid_min_2306256,pressao_min_2306256,casos_2304285,casos_est_2304285,casos_est_min_2304285,casos_est_max_2304285,p_rt1_2304285,p_inc100k_2304285,temp_min_2304285,temp_max_2304285,umid_min_2304285,pressao_min_2304285,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709,casos_2302107,casos_est_2302107,casos_est_min_2302107,casos_est_max_2302107,p_rt1_2302107,p_inc100k_2302107,temp_min_2302107,temp_max_2302107,umid_min_2302107,pressao_min_2302107,casos_2302008,casos_est_2302008,casos_est_min_2302008,casos_est_max_2302008,p_rt1_2302008,p_inc100k_2302008,temp_min_2302008,temp_max_2302008,umid_min_2302008,pressao_min_2302008
2010-01-03,2,2.0,2,2,0.0,0.8716192,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,56,56.0,56,56,0.0,2.0844097,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,0,0.0,0,0,0.0,0.0,22.82450875,31.63465875,49.387231,0.995832005
2010-01-10,3,3.0,3,3,0.0,1.3074288,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,55,55.0,55,55,0.0,2.047188,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.0,0.27381358,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,0,0.0,0,0,0.0,0.0,22.82450875,31.63465875,49.387231,0.995832005
2010-01-17,6,6.0,6,6,0.0,2.6148577,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.0,1.2945989,,,,,77,77.0,77,77,0.0,2.8660634,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.0,0.54762715,,,,,1,1.0,1,1,0.0,2.7823377,23.09906,31.686233249999997,51.539727,0.995811465,0,0.0,0,0,0.0,0.0,22.82450875,31.63465875,49.387231,0.995832005
2010-01-24,4,4.0,4,4,0.0,1.7432384,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,56,56.0,56,56,0.0,2.0844097,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,0,0.0,0,0,0.0,0.0,22.82450875,31.63465875,49.387231,0.995832005
2010-01-31,5,5.0,5,5,0.0,2.179048,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,114,114.0,114,114,0.0,4.2432623,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.0,2.7823377,23.09906,31.686233249999997,51.539727,0.995811465,1,1.0,1,1,0.0,4.394059,22.82450875,31.63465875,49.387231,0.995832005
2010-02-07,3,3.0,3,3,0.26995412,1.3074288,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,45,45.0,45,45,0.003485894,1.674972,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,0,0.0,0,0,0.0,0.0,22.82450875,31.63465875,49.387231,0.995832005
2010-02-14,3,3.0,3,3,0.31875604,1.3074288,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,81,81.0,81,81,0.5723884,3.0149498,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,1,1.0,1,1,0.8910605,0.27381358,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,1,1.0,1,1,0.730556,4.394059,22.82450875,31.63465875,49.387231,0.995832005
2010-02-21,7,7.0,7,7,0.8506019,3.0506673,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,56,56.0,56,56,0.08354105,2.0844097,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,3,3.0,3,3,0.9304139,13.182178,22.82450875,31.63465875,49.387231,0.995832005
2010-02-28,10,10.0,10,10,0.9366219,4.358096,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,105,105.0,105,105,0.99710685,3.9082682,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,1,1.0,1,1,0.7304197,0.27381358,,,,,1,1.0,1,1,0.92779905,2.7823377,23.09906,31.686233249999997,51.539727,0.995811465,0,0.0,0,0,0.0,0.0,22.82450875,31.63465875,49.387231,0.995832005
2010-03-07,6,6.0,6,6,0.44788298,2.6148577,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,61,61.0,61,61,0.13811277,2.2705176,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,1,1.0,1,1,0.35423523,4.394059,22.82450875,31.63465875,49.387231,0.995832005
2010-03-14,6,6.0,6,6,0.32375664,2.6148577,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,73,73.0,73,73,0.32045537,2.717177,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,0,0.0,0,0,0.0,0.0,22.82450875,31.63465875,49.387231,0.995832005
2010-03-21,4,4.0,4,4,0.1809072,1.7432384,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,84,84.0,84,84,0.754532,3.1266146,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,2,2.0,2,2,0.92080367,0.54762715,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,1,1.0,1,1,0.6509689,4.394059,22.82450875,31.63465875,49.387231,0.995832005
2010-03-28,2,2.0,2,2,0.08320423,0.8716192,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,101,101.0,101,101,0.9725745,3.7593818,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.9278851,2.7823377,23.09906,31.686233249999997,51.539727,0.995811465,0,0.0,0,0,0.0,0.0,22.82450875,31.63465875,49.387231,0.995832005
2010-04-04,5,5.0,5,5,0.6129148,2.179048,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,89,89.0,89,89,0.6430923,3.3127224,,,,,1,1.0,1,1,0.9632679,2.609263,,,,,0,0.0,0,0,0.5,0.0,,,,,1,1.0,1,1,0.552364,0.27381358,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,2,2.0,2,2,0.8678805,8.788118,22.82450875,31.63465875,49.387231,0.995832005
2010-04-11,5,5.0,5,5,0.6927547,2.179048,,,,,1,1.0,1,1,0.9632679,3.8710177,,,,,0,0.0,0,0,0.0,0.0,,,,,67,67.0,67,67,0.03261795,2.4938474,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,1,1.0,1,1,0.58235186,0.27381358,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,3,3.0,3,3,0.8928272,13.182178,22.82450875,31.63465875,49.387231,0.995832005
2010-04-18,9,9.0,9,9,0.904174,3.9222865,,,,,1,1.0,1,1,0.8145292,3.8710177,,,,,0,0.0,0,0,0.0,0.0,,,,,85,85.0,85,85,0.48123053,3.163836,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,0,0.0,0,0,0.0,0.0,22.82450875,31.63465875,49.387231,0.995832005
2010-04-25,22,22.0,22,22,0.99856514,9.587811,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.9632679,1.2945989,,,,,110,110.0,110,110,0.9837424,4.094376,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,2,2.0,2,2,0.8154891,0.54762715,,,,,0,0.0,0,0,0.0,0.0,23.09906,31.686233249999997,51.539727,0.995811465,2,2.0,2,2,0.54723245,8.788118,22.82450875,31.63465875,49.387231,0.995832005
2010-05-02,13,13.0,13,13,0.65282583,5.665525,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.921898,2.5891979,23.55661,31.032715,61.5363,0.9968125,68,68.0,68,68,0.07618177,2.5310688,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,1,1.0,1,1,0.56090885,0.27381358,25.496063,28.77658,78.68433,0.9965936,0,0.0,0,0,0.0,0.0,23.409027,30.538086,64.03611,0.99668735,1,1.0,1,1,0.3863659,4.394059,23.30185,32.683685,45.99474,0.9972302
2010-05-09,10,10.0,10,10,0.15670244,4.358096,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.52236325,1.2945989,22.96080257142857,30.563882,56.57810114285714,0.9964127271428571,92,92.0,92,92,0.56207323,3.4243872,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.9632679,1.8403666,,,,,0,0.0,0,0,0.0,0.0,26.039751285714285,28.96711942857143,72.55298157142856,0.9961760742857143,1,1.0,1,1,0.9631786,2.7823377,23.044115285714287,30.312792,59.481646000000005,0.9964113885714286,0,0.0,0,0,0.0,0.0,22.473293,32.384961714285716,40.469603428571425,0.9965793671428571
2010-05-16,23,23.0,23,23,0.9156658,10.023621,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,103,103.0,103,103,0.88583124,3.8338249,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.921898,3.6807332,,,,,1,1.0,1,1,0.52071273,0.27381358,26.367950333333336,29.1828715,71.656055,0.9961967183333332,1,1.0,1,1,0.81452835,2.7823377,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,2,2.0,2,2,0.748805,8.788118,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-05-23,18,18.0,18,18,0.7080486,7.844573,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,106,106.0,106,106,0.87210906,3.9454896,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.63902766,0.27381358,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,2,2.0,2,2,0.7655955,8.788118,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
