,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2311702,casos_est_2311702,casos_est_min_2311702,casos_est_max_2311702,p_rt1_2311702,p_inc100k_2311702,temp_min_2311702,temp_max_2311702,umid_min_2311702,pressao_min_2311702,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2306306,casos_est_2306306,casos_est_min_2306306,casos_est_max_2306306,p_rt1_2306306,p_inc100k_2306306,temp_min_2306306,temp_max_2306306,umid_min_2306306,pressao_min_2306306
2010-01-03,56,56.0,56,56,0.0,2.0844097,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,2,2.0,2,2,0.0,0.8716192,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0
2010-01-10,55,55.0,55,55,0.0,2.047188,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,1,1.0,1,1,0.0,5.4392166,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,3,3.0,3,3,0.0,1.3074288,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,1,1.0,1,1,0.0,1.8844103,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714
2010-01-17,77,77.0,77,77,0.0,2.8660634,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,6,6.0,6,6,0.0,2.6148577,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857
2010-01-24,56,56.0,56,56,0.0,2.0844097,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,1,1.0,1,1,0.0,5.4392166,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,4,4.0,4,4,0.0,1.7432384,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,0,0.0,0,0,0.0,0.0,24.714285714285715,30.857142857142858,54.142857142857146,1009.0
2010-01-31,114,114.0,114,114,0.0,4.2432623,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,5,5.0,5,5,0.0,2.179048,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429
2010-02-07,45,45.0,45,45,0.003485894,1.674972,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,3,3.0,3,3,0.26995412,1.3074288,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857
2010-02-14,81,81.0,81,81,0.5723884,3.0149498,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,0,0.0,0,0,0.0,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,3,3.0,3,3,0.31875604,1.3074288,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,0,0.0,0,0,0.0,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286
2010-02-21,56,56.0,56,56,0.08354105,2.0844097,25.0,30.857142857142858,59.857142857142854,1009.0,0,0.0,0,0,0.0,0.0,25.0,30.857142857142858,59.857142857142854,1009.0,7,7.0,7,7,0.8506019,3.0506673,25.0,30.857142857142858,59.857142857142854,1009.0,0,0.0,0,0,0.0,0.0,25.0,30.857142857142858,59.857142857142854,1009.0
2010-02-28,105,105.0,105,105,0.99710685,3.9082682,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,10,10.0,10,10,0.9366219,4.358096,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857
2010-03-07,61,61.0,61,61,0.13811277,2.2705176,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,6,6.0,6,6,0.44788298,2.6148577,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857
