,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557,casos_3305554,casos_est_3305554,casos_est_min_3305554,casos_est_max_3305554,p_rt1_3305554,p_inc100k_3305554,temp_min_3305554,temp_max_3305554,umid_min_3305554,pressao_min_3305554,casos_3304151,casos_est_3304151,casos_est_min_3304151,casos_est_max_3304151,p_rt1_3304151,p_inc100k_3304151,temp_min_3304151,temp_max_3304151,umid_min_3304151,pressao_min_3304151,casos_3304144,casos_est_3304144,casos_est_min_3304144,casos_est_max_3304144,p_rt1_3304144,p_inc100k_3304144,temp_min_3304144,temp_max_3304144,umid_min_3304144,pressao_min_3304144,casos_3302858,casos_est_3302858,casos_est_min_3302858,casos_est_max_3302858,p_rt1_3302858,p_inc100k_3302858,temp_min_3302858,temp_max_3302858,umid_min_3302858,pressao_min_3302858,casos_3302270,casos_est_3302270,casos_est_min_3302270,casos_est_max_3302270,p_rt1_3302270,p_inc100k_3302270,temp_min_3302270,temp_max_3302270,umid_min_3302270,pressao_min_3302270,casos_3303203,casos_est_3303203,casos_est_min_3303203,casos_est_max_3303203,p_rt1_3303203,p_inc100k_3303203,temp_min_3303203,temp_max_3303203,umid_min_3303203,pressao_min_3303203
2010-01-03,31,31.0,31,31.0,0.0,0.459408,24.919603571428574,30.475485714285714,66.63178571428571,0.9931752871428571,0,0.0,0,0,0.0,0.0,24.190516714285714,28.85426542857143,71.04760428571429,0.9936646942857142,1,1.0,1,1,0.0,3.9799411,24.896981428571426,31.498866714285718,61.64492,0.9938090228571428,0,0.0,0,0,0.0,0.0,24.547877428571432,30.194575714285715,67.29238771428571,0.9932567028571428,1,1.0,1,1,0.0,0.5663508,24.576307000000003,29.725882285714285,69.10419728571428,0.9933567614285714,0,0.0,0,0,0.0,0.0,23.052935285714284,29.60385557142857,64.61041585714285,0.9939176742857142,0,0.0,0,0,0.0,0.0,24.576307000000003,29.725882285714285,69.10419728571428,0.9933567614285714
2010-01-10,45,45.0,45,45.0,0.0,0.6668825,25.529043857142856,32.12524428571429,64.58410042857143,0.99563252,1,1.0,1,1,0.0,1.2034853,25.049612999999997,31.465994714285717,63.475,0.9959330342857143,2,2.0,2,2,0.0,7.9598823,24.940551714285714,32.32941557142857,59.99337328571429,0.9964774742857143,0,0.0,0,0,0.0,0.0,25.33864042857143,32.32766728571429,63.03040928571429,0.9955770314285715,1,1.0,1,1,0.0,0.5663508,25.422472142857142,32.09006185714286,62.984778142857145,0.9956162585714285,0,0.0,0,0,0.0,0.0,23.75246757142857,32.57628942857143,57.51989485714286,0.9960824885714287,0,0.0,0,0,0.0,0.0,25.422472142857142,32.09006185714286,62.984778142857145,0.9956162585714285
2010-01-17,48,48.0,48,48.0,0.0,0.7113414,25.35959757142857,31.999537857142855,61.70790785714286,0.9979283271428571,0,0.0,0,0,0.0,0.0,25.004359571428573,30.841378285714285,62.336085857142855,0.9983969457142857,1,1.0,1,1,0.0,3.9799411,24.49363042857143,32.16920257142857,56.67636242857143,0.9983931242857143,0,0.0,0,0,0.0,0.0,25.110682857142855,32.102491,60.35585,0.9979109185714287,0,0.0,0,0,0.0,0.0,25.37981285714286,31.698752285714285,60.73888557142857,0.9980174057142858,0,0.0,0,0,0.0,0.0,23.557774,31.934531285714286,56.217138142857145,0.99845849,0,0.0,0,0,0.0,0.0,25.37981285714286,31.698752285714285,60.73888557142857,0.9980174057142858
2010-01-24,56,56.0,56,56.0,0.0,0.8298983,25.29788657142857,32.13444742857143,60.643620428571424,0.9968750157142857,0,0.0,0,0,0.0,0.0,24.819684571428574,30.709337428571427,62.73301371428571,0.99725145,5,5.0,5,5,0.0,19.899706,24.853267,33.088356857142855,52.82460714285714,0.9973655014285715,0,0.0,0,0,0.0,0.0,24.96915542857143,32.07116257142857,59.6347,0.9968267414285714,0,0.0,0,0,0.0,0.0,25.125736714285715,31.560263285714285,60.90733085714286,0.9968759914285714,0,0.0,0,0,0.0,0.0,23.219713428571428,31.73439671428571,56.23377657142857,0.9971964057142857,0,0.0,0,0,0.0,0.0,25.125736714285715,31.560263285714285,60.90733085714286,0.9968759914285714
2010-01-31,69,69.0,69,69.0,0.0,1.0225532,24.75245442857143,31.62312514285714,61.756186285714286,0.9973068042857143,0,0.0,0,0,0.0,0.0,24.056814857142857,30.42984457142857,61.94230914285714,0.9975343642857143,1,1.0,1,1,0.0,3.9799411,24.437604571428572,32.826494000000004,49.2253,0.9984199342857144,0,0.0,0,0,0.0,0.0,24.302961,31.652016714285715,61.105594714285715,0.9972601799999999,0,0.0,0,0,0.0,0.0,24.321585428571428,31.186035285714286,61.491648,0.9972873342857144,0,0.0,0,0,0.0,0.0,22.582532714285716,31.319187857142854,56.20514271428572,0.99786637,1,1.0,1,1,0.0,0.6146546,24.321585428571428,31.186035285714286,61.491648,0.9972873342857144
2010-02-07,59,59.0,59,59.0,0.59582657,0.8743571,25.545942,34.50603328571429,48.54512128571429,0.9969590171428572,2,2.0,2,2,0.9661878,2.4069705,25.856942428571426,33.52040785714286,49.76081228571429,0.99706424,0,0.0,0,0,0.0,0.0,25.239101,34.29349614285714,44.64923642857143,0.9985244857142856,2,2.0,2,2,0.9779825,1.3215714,25.215816142857143,34.585396714285714,47.61784942857143,0.9967513242857143,0,0.0,0,0,0.0,0.0,25.757324428571426,34.079245285714286,49.56801671428571,0.9967329142857143,0,0.0,0,0,0.5,0.0,23.92148685714286,34.64116571428571,43.07510514285714,0.9972446685714286,0,0.0,0,0,0.0,0.0,25.757324428571426,34.079245285714286,49.56801671428571,0.9967329142857143
2010-02-14,69,69.0,69,69.0,0.7340243,1.0225532,25.292157857142858,34.06743914285714,47.19366371428571,0.9966349085714287,1,1.0,1,1,0.68664473,1.2034853,25.407030142857142,32.74973428571429,51.93999385714285,0.9966655057142857,1,1.0,1,1,0.30233598,3.9799411,24.72028028571429,33.461521714285716,49.72701528571429,0.9976465514285715,3,3.0,3,3,0.9304139,1.982357,24.944998714285713,34.19848614285714,46.96125114285714,0.9963668057142857,1,1.0,1,1,0.96022433,0.5663508,25.293374142857143,33.494555,50.292592285714285,0.99628204,0,0.0,0,0,0.5,0.0,23.308807285714288,33.985504285714285,44.40821728571429,0.9965805414285713,1,1.0,1,1,0.730556,0.6146546,25.293374142857143,33.494555,50.292592285714285,0.99628204
2010-02-21,77,77.0,77,77.0,0.8576254,1.1411102,24.73066928571429,32.10416528571428,56.70464257142857,0.9982447657142857,4,4.0,4,4,0.91043377,4.813941,24.720554714285715,30.624668714285715,60.38998471428572,0.9987018728571428,1,1.0,1,1,0.5693595,3.9799411,24.702152714285717,32.576211,55.252324,0.9989038671428572,2,2.0,2,2,0.58596957,1.3215714,24.429888142857145,32.12945571428572,56.012437999999996,0.9982359442857144,1,1.0,1,1,0.81445277,0.5663508,24.752476285714287,31.46573785714286,58.76245357142857,0.9983421071428572,1,1.0,1,1,0.9632679,0.9474362,23.072653714285714,32.04517042857143,53.094244714285715,0.99868818,1,1.0,1,1,0.6887573,0.6146546,24.752476285714287,31.46573785714286,58.76245357142857,0.9983421071428572
2010-02-28,99,99.0,99,99.0,0.98815596,1.4671416,24.23444042857143,30.52862114285714,59.66036557142858,0.9974881157142858,8,8.0,8,8,0.97277606,9.627882,23.908429857142856,28.586743857142856,66.24792485714286,0.9978963371428572,1,1.0,1,1,0.58593357,3.9799411,23.961238428571427,31.274566571428572,56.41568042857143,0.9970519385714286,5,5.0,5,5,0.8434529,3.3039284,24.018206,30.432264,59.411773571428576,0.9975053642857142,1,1.0,1,1,0.6177498,0.5663508,24.265407,29.61200357142857,63.11641685714285,0.9975922014285714,0,0.0,0,0,0.0,0.0,22.525979,29.58471271428571,61.24911014285715,0.9979340414285715,0,0.0,0,0,0.0,0.0,24.265407,29.61200357142857,63.11641685714285,0.9975922014285714
2010-03-07,75,75.0,75,75.0,0.37574977,1.1114709,22.19209085714286,26.323215857142856,76.42018728571429,0.9980862585714286,2,2.0,2,2,0.18854211,2.4069705,21.547450571428573,25.075984428571427,77.53910971428571,0.9984429714285714,0,0.0,0,0,0.0,0.0,22.535635857142857,26.437761714285717,78.48407514285714,0.9981223657142857,4,4.0,4,4,0.64700234,2.6431427,21.897134142857144,26.203386571428574,75.993793,0.9981054214285715,2,2.0,2,2,0.75246555,1.1327016,21.900700142857144,25.768650428571426,76.42107228571429,0.9981848871428571,0,0.0,0,0,0.0,0.0,20.252977571428573,25.436292142857145,76.73660157142857,0.9983502371428571,1,1.0,1,1,0.6158557,0.6146546,21.900700142857144,25.768650428571426,76.42107228571429,0.9981848871428571
