,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557,casos_3305554,casos_est_3305554,casos_est_min_3305554,casos_est_max_3305554,p_rt1_3305554,p_inc100k_3305554,temp_min_3305554,temp_max_3305554,umid_min_3305554,pressao_min_3305554,casos_3304151,casos_est_3304151,casos_est_min_3304151,casos_est_max_3304151,p_rt1_3304151,p_inc100k_3304151,temp_min_3304151,temp_max_3304151,umid_min_3304151,pressao_min_3304151,casos_3304144,casos_est_3304144,casos_est_min_3304144,casos_est_max_3304144,p_rt1_3304144,p_inc100k_3304144,temp_min_3304144,temp_max_3304144,umid_min_3304144,pressao_min_3304144,casos_3302858,casos_est_3302858,casos_est_min_3302858,casos_est_max_3302858,p_rt1_3302858,p_inc100k_3302858,temp_min_3302858,temp_max_3302858,umid_min_3302858,pressao_min_3302858,casos_3302270,casos_est_3302270,casos_est_min_3302270,casos_est_max_3302270,p_rt1_3302270,p_inc100k_3302270,temp_min_3302270,temp_max_3302270,umid_min_3302270,pressao_min_3302270,casos_3303203,casos_est_3303203,casos_est_min_3303203,casos_est_max_3303203,p_rt1_3303203,p_inc100k_3303203,temp_min_3303203,temp_max_3303203,umid_min_3303203,pressao_min_3303203
2010-01-03,31,31.0,31,31.0,0.0,0.459408,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.0,3.9799411,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.0,0.5663508,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-01-10,45,45.0,45,45.0,0.0,0.6668825,,,,,1,1.0,1,1,0.0,1.2034853,,,,,2,2.0,2,2,0.0,7.9598823,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.0,0.5663508,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-01-17,48,48.0,48,48.0,0.0,0.7113414,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.0,3.9799411,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-01-24,56,56.0,56,56.0,0.0,0.8298983,,,,,0,0.0,0,0,0.0,0.0,,,,,5,5.0,5,5,0.0,19.899706,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-01-31,69,69.0,69,69.0,0.0,1.0225532,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.0,3.9799411,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.0,0.6146546,,,,
2010-02-07,59,59.0,59,59.0,0.59582657,0.8743571,,,,,2,2.0,2,2,0.9661878,2.4069705,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.9779825,1.3215714,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-02-14,69,69.0,69,69.0,0.7340243,1.0225532,,,,,1,1.0,1,1,0.68664473,1.2034853,,,,,1,1.0,1,1,0.30233598,3.9799411,,,,,3,3.0,3,3,0.9304139,1.982357,,,,,1,1.0,1,1,0.96022433,0.5663508,,,,,0,0.0,0,0,0.5,0.0,,,,,1,1.0,1,1,0.730556,0.6146546,,,,
2010-02-21,77,77.0,77,77.0,0.8576254,1.1411102,,,,,4,4.0,4,4,0.91043377,4.813941,,,,,1,1.0,1,1,0.5693595,3.9799411,,,,,2,2.0,2,2,0.58596957,1.3215714,,,,,1,1.0,1,1,0.81445277,0.5663508,,,,,1,1.0,1,1,0.9632679,0.9474362,,,,,1,1.0,1,1,0.6887573,0.6146546,,,,
2010-02-28,99,99.0,99,99.0,0.98815596,1.4671416,,,,,8,8.0,8,8,0.97277606,9.627882,,,,,1,1.0,1,1,0.58593357,3.9799411,,,,,5,5.0,5,5,0.8434529,3.3039284,,,,,1,1.0,1,1,0.6177498,0.5663508,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-03-07,75,75.0,75,75.0,0.37574977,1.1114709,,,,,2,2.0,2,2,0.18854211,2.4069705,,,,,0,0.0,0,0,0.0,0.0,,,,,4,4.0,4,4,0.64700234,2.6431427,,,,,2,2.0,2,2,0.75246555,1.1327016,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.6158557,0.6146546,,,,
2010-03-14,73,73.0,73,73.0,0.18485987,1.0818317,,,,,5,5.0,5,5,0.503139,6.0174265,,,,,0,0.0,0,0,0.0,0.0,,,,,4,4.0,4,4,0.5250507,2.6431427,,,,,1,1.0,1,1,0.42548013,0.5663508,,,,,1,1.0,1,1,0.8145292,0.9474362,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-03-21,104,104.0,104,104.0,0.95031595,1.5412396,,,,,1,1.0,1,1,0.053728882,1.2034853,,,,,2,2.0,2,2,0.90732056,7.9598823,,,,,5,5.0,5,5,0.6137071,3.3039284,,,,,2,2.0,2,2,0.63183755,1.1327016,,,,,1,1.0,1,1,0.78460985,0.9474362,,,,,3,3.0,3,3,0.93416303,1.8439637,,,,
2010-03-28,84,84.0,84,84.0,0.5412385,1.2448474,,,,,4,4.0,4,4,0.5945169,4.813941,,,,,0,0.0,0,0,0.0,0.0,,,,,7,7.0,7,7,0.78591573,4.6254997,,,,,2,2.0,2,2,0.61033726,1.1327016,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.72834885,1.2293092,,,,
2010-04-04,80,80.0,80,80.0,0.2606664,1.1855689,,,,,1,1.0,1,1,0.14613329,1.2034853,,,,,1,1.0,1,1,0.55231273,3.9799411,,,,,5,5.0,5,5,0.4785266,3.3039284,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.2893955,0.6146546,,,,
2010-04-11,84,84.0,84,84.0,0.41330853,1.2448474,,,,,7,7.0,7,7,0.9272986,8.424397,,,,,3,3.0,3,3,0.89352316,11.939823,,,,,1,1.0,1,1,0.022087017,0.6607857,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-04-18,92,92.0,92,92.0,0.7404203,1.3634043,,,,,7,7.0,7,7,0.8710196,8.424397,,,,,4,4.0,4,4,0.88753027,15.9197645,,,,,2,2.0,2,2,0.15764654,1.3215714,,,,,2,2.0,2,2,0.8297866,1.1327016,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-04-25,126,126.0,126,126.0,0.99642444,1.8672711,,,,,1,1.0,1,1,0.031175995,1.2034853,,,,,3,3.0,3,3,0.5765339,11.939823,,,,,5,5.0,5,5,0.8037316,3.3039284,,,,,1,1.0,1,1,0.635113,0.5663508,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-05-02,137,137.0,137,137.0,0.9926473,2.0302868,,,,,0,0.0,0,0,0.0,0.0,,,,,3,3.0,3,3,0.45511094,11.939823,,,,,4,4.0,4,4,0.69359213,2.6431427,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,5,5.0,5,5,0.9943741,3.073273,,,,
2010-05-09,115,115.0,115,115.0,0.45316663,1.7042553,,,,,1,1.0,1,1,0.17318264,1.2034853,,,,,6,6.0,6,6,0.81634045,23.879646,,,,,3,3.0,3,3,0.3887047,1.982357,,,,,2,2.0,2,2,0.7523925,1.1327016,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-05-16,115,115.0,115,115.0,0.26866004,1.7042553,,,,,1,1.0,1,1,0.5186985,1.2034853,,,,,7,7.0,7,7,0.82982063,27.859589,,,,,6,6.0,6,6,0.74981564,3.964714,,,,,2,2.0,2,2,0.7657041,1.1327016,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.24167846,0.6146546,,,,
2010-05-23,102,102.0,102,102.0,0.11818253,1.5116004,,,,,0,0.0,0,0,0.0,0.0,,,,,4,4.0,4,4,0.33802348,15.9197645,,,,,5,5.0,5,5,0.6136454,3.3039284,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.35213077,0.6146546,,,,
2010-05-30,86,86.0,86,86.0,0.036955,1.2744867,,,,,1,1.0,1,1,0.61545146,1.2034853,,,,,1,1.0,1,1,0.023001911,3.9799411,,,,,1,1.0,1,1,0.040616147,0.6607857,,,,,1,1.0,1,1,0.39487925,0.5663508,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-06-06,54,54.0,54,54.0,0.000116219344,0.80025905,,,,,4,4.0,4,4,0.95951647,4.813941,,,,,5,5.0,5,5,0.61731046,19.899706,,,,,1,1.0,1,1,0.06593234,0.6607857,,,,,4,4.0,4,4,0.9325328,2.2654033,,,,,1,1.0,1,1,0.9632679,0.9474362,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-06-13,93,93.0,93,93.0,0.7557051,1.3782239,,,,,0,0.0,0,0,0.0,0.0,,,,,3,3.0,3,3,0.47526574,11.939823,,,,,1,1.0,1,1,0.21131371,0.6607857,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.784246,0.6146546,,,,
2010-06-20,79,79.0,79,79.0,0.62197804,1.1707493,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.10406959,3.9799411,,,,,2,2.0,2,2,0.67329556,1.3215714,,,,,3,3.0,3,3,0.68577296,1.6990525,,,,,0,0.0,0,0,0.0,0.0,,,,,3,3.0,3,3,0.9549286,1.8439637,,,,
