,geocode,name_muni,name_region,code_region,name_macro,code_macro,state
0,1100015,Alta Floresta D'Oeste,Zona da Mata,11005,Cacoal,1101,RO
1,1100023,Ariquemes,Vale do Jamari,11001,Porto Velho,1102,RO
2,1100031,Cabixi,Cone Sul,11006,Cacoal,1101,RO
3,1100049,Cacoal,Café,11002,Cacoal,1101,RO
4,1100056,Cerejeiras,Cone Sul,11006,Cacoal,1101,RO
5,1100064,Colorado do Oeste,Cone Sul,11006,Cacoal,1101,RO
6,1100072,Corumbiara,Cone Sul,11006,Cacoal,1101,RO
7,1100080,Costa Marques,Vale do Guaporé,11007,Cacoal,1101,RO
8,1100098,Espigão D'Oeste,Café,11002,Cacoal,1101,RO
9,1100106,Guajará-Mirim,Madeira-Mamoré,11004,Porto Velho,1102,RO
10,1100114,Jaru,Central,11003,Porto Velho,1102,RO
11,1100122,Ji-Paraná,Central,11003,Porto Velho,1102,RO
12,1100130,Machadinho D'Oeste,Vale do Jamari,11001,Porto Velho,1102,RO
13,1100148,Nova Brasilândia D'Oeste,Zona da Mata,11005,Cacoal,1101,RO
14,1100189,Pimenta Bueno,Café,11002,Cacoal,1101,RO
15,1100205,Porto Velho,Madeira-Mamoré,11004,Porto Velho,1102,RO
16,1100254,Presidente Médici,Central,11003,Porto Velho,1102,RO
17,1100288,Rolim de Moura,Zona da Mata,11005,Cacoal,1101,RO
18,1101302,Mirante da Serra,Central,11003,Porto Velho,1102,RO
19,5006408,Pedro Gomes,Campo Grande,50001,Campo Grande,5008,MS
20,5006606,Ponta Porã,Dourados,50003,Dourados,5006,MS
21,1100155,Ouro Preto do Oeste,Central,11003,Porto Velho,1102,RO
22,1100262,Rio Crespo,Vale do Jamari,11001,Porto Velho,1102,RO
23,1100320,São Miguel do Guaporé,Central,11003,Porto Velho,1102,RO
24,1100338,Nova Mamoré,Madeira-Mamoré,11004,Porto Velho,1102,RO
25,1100346,Alvorada D'Oeste,Central,11003,Porto Velho,1102,RO
26,1100379,Alto Alegre dos Parecis,Zona da Mata,11005,Cacoal,1101,RO
27,1100403,Alto Paraíso,Vale do Jamari,11001,Porto Velho,1102,RO
28,1100502,Novo Horizonte do Oeste,Zona da Mata,11005,Cacoal,1101,RO
29,1100601,Cacaulândia,Vale do Jamari,11001,Porto Velho,1102,RO
30,1100700,Campo Novo de Rondônia,Vale do Jamari,11001,Porto Velho,1102,RO
31,1100809,Candeias do Jamari,Madeira-Mamoré,11004,Porto Velho,1102,RO
32,1100908,Castanheiras,Zona da Mata,11005,Cacoal,1101,RO
33,1100924,Chupinguaia,Cone Sul,11006,Cacoal,1101,RO
34,1100940,Cujubim,Vale do Jamari,11001,Porto Velho,1102,RO
35,1101005,Governador Jorge Teixeira,Central,11003,Porto Velho,1102,RO
36,1101104,Itapuã do Oeste,Madeira-Mamoré,11004,Porto Velho,1102,RO
37,1300201,Atalaia do Norte,Alto Solimões,13009,Oeste,1302,AM
38,1300300,Autazes,"Manaus, Entorno e Alto Rio Negro",13001,Central,1304,AM
39,1300409,Barcelos,"Manaus, Entorno e Alto Rio Negro",13001,Central,1304,AM
40,1300508,Barreirinha,Baixo Amazonas,13005,Leste,1303,AM
41,1101484,São Felipe D'Oeste,Café,11002,Cacoal,1101,RO
42,1101559,Teixeirópolis,Central,11003,Porto Velho,1102,RO
43,1101708,Urupá,Central,11003,Porto Velho,1102,RO
44,1101757,Vale do Anari,Central,11003,Porto Velho,1102,RO
45,1101807,Vale do Paraíso,Central,11003,Porto Velho,1102,RO
46,1200013,Acrelândia,Baixo Acre e Purus,12002,Acre,1201,AC
47,1200054,Assis Brasil,Alto Acre,12001,Acre,1201,AC
48,1200104,Brasiléia,Alto Acre,12001,Acre,1201,AC
49,1200138,Bujari,Baixo Acre e Purus,12002,Acre,1201,AC
50,1200179,Capixaba,Baixo Acre e Purus,12002,Acre,1201,AC
51,1200203,Cruzeiro do Sul,Juruá e Tarauacá/Envira,12003,Acre,1201,AC
52,1200252,Epitaciolândia,Alto Acre,12001,Acre,1201,AC
53,1200302,Feijó,Juruá e Tarauacá/Envira,12003,Acre,1201,AC
54,1200328,Jordão,Baixo Acre e Purus,12002,Acre,1201,AC
55,1200336,Mâncio Lima,Juruá e Tarauacá/Envira,12003,Acre,1201,AC
56,1200344,Manoel Urbano,Baixo Acre e Purus,12002,Acre,1201,AC
57,1200351,Marechal Thaumaturgo,Juruá e Tarauacá/Envira,12003,Acre,1201,AC
58,1200385,Plácido de Castro,Baixo Acre e Purus,12002,Acre,1201,AC
59,1200393,Porto Walter,Juruá e Tarauacá/Envira,12003,Acre,1201,AC
60,1200401,Rio Branco,Baixo Acre e Purus,12002,Acre,1201,AC
61,1200427,Rodrigues Alves,Juruá e Tarauacá/Envira,12003,Acre,1201,AC
62,1200435,Santa Rosa do Purus,Baixo Acre e Purus,12002,Acre,1201,AC
63,1200450,Senador Guiomard,Baixo Acre e Purus,12002,Acre,1201,AC
64,1200500,Sena Madureira,Baixo Acre e Purus,12002,Acre,1201,AC
65,1200609,Tarauacá,Juruá e Tarauacá/Envira,12003,Acre,1201,AC
66,1200708,Xapuri,Alto Acre,12001,Acre,1201,AC
67,1200807,Porto Acre,Baixo Acre e Purus,12002,Acre,1201,AC
68,1300029,Alvarães,Triângulo,13008,Oeste,1302,AM
69,1300060,Amaturá,Alto Solimões,13009,Oeste,1302,AM
70,1300086,Anamã,Rio Negro e Solimões,13002,Central,1304,AM
71,1300102,Anori,Rio Negro e Solimões,13002,Central,1304,AM
72,1300144,Apuí,Rio Madeira,13003,Leste,1303,AM
73,1300607,Benjamin Constant,Alto Solimões,13009,Oeste,1302,AM
74,1300631,Beruri,Rio Negro e Solimões,13002,Central,1304,AM
75,1300680,Boa Vista do Ramos,Baixo Amazonas,13005,Leste,1303,AM
76,1300706,Boca do Acre,Regional Purus,13006,Central,1304,AM
77,1300805,Borba,Rio Madeira,13003,Leste,1303,AM
78,1300839,Caapiranga,Rio Negro e Solimões,13002,Central,1304,AM
